ID,labeled_data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjp1a4tyjnoj70d40vh0m9lgl,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.56%20PM.png?alt=media&token=5a4f3a6e-3db3-4952-86ae-6cc659bd9c19,"{""which_letter"":""o""}",alexfaus08@gmail.com,Letters,1.54342E+12,118.971,Screen Shot 2018-11-14 at 12.33.56 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a4tyjnoj70d40vh0m9lgl
cjp1a4vos6wlv09758xtn1epj,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.54%20PM.png?alt=media&token=af1475f3-cc2a-4851-bd19-d781af6d36ac,"{""which_letter"":""r""}",alexfaus08@gmail.com,Letters,1.54342E+12,2.531,Screen Shot 2018-11-14 at 12.33.54 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a4vos6wlv09758xtn1epj
cjp1a4xm6nokc0d40s6f5itrt,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.52%20PM.png?alt=media&token=39b8a7ac-a287-4150-b7d7-8fa1e93744f7,"{""which_letter"":""a""}",alexfaus08@gmail.com,Letters,1.54342E+12,2.54,Screen Shot 2018-11-14 at 12.33.52 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a4xm6nokc0d40s6f5itrt
cjp1a4zzf6wok0975617lsh6p,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.50%20PM.png?alt=media&token=741371b4-dc27-41dc-b733-5660cbc720da,"{""which_letter"":""i""}",alexfaus08@gmail.com,Letters,1.54342E+12,3.057,Screen Shot 2018-11-14 at 12.33.50 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a4zzf6wok0975617lsh6p
cjp1a52cd6wph0975lcik77kg,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.48%20PM.png?alt=media&token=bf0fcf4f-c434-48a4-a775-99b779e3f0bc,"{""which_letter"":""a""}",alexfaus08@gmail.com,Letters,1.54342E+12,2.672,Screen Shot 2018-11-14 at 12.33.48 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a52cd6wph0975lcik77kg
cjp1a55v5noo50d40nuup3zym,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.46%20PM.png?alt=media&token=e4348b2e-b9f1-4a29-9878-eafeee42bc06,"{""which_letter"":""o""}",alexfaus08@gmail.com,Letters,1.54342E+12,4.907,Screen Shot 2018-11-14 at 12.33.46 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a55v5noo50d40nuup3zym
cjp1a644c6x6c0975tulgu162,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.44%20PM.png?alt=media&token=bb6bf369-7067-4351-a272-51b5e2e8b2ec,"{""which_letter"":""g""}",alexfaus08@gmail.com,Letters,1.54342E+12,21.056,Screen Shot 2018-11-14 at 12.33.44 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a644c6x6c0975tulgu162
cjp1a66x16x7t0975y4p6au1q,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.42%20PM.png?alt=media&token=88f70e59-d519-4d17-83c5-e1493ac2185c,"{""which_letter"":""a""}",alexfaus08@gmail.com,Letters,1.54342E+12,3.932,Screen Shot 2018-11-14 at 12.33.42 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a66x16x7t0975y4p6au1q
cjp1a68iu6x930975otacmj7v,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.40%20PM.png?alt=media&token=d5648b71-9161-4737-8f95-452eb2b11b4b,"{""which_letter"":""d""}",alexfaus08@gmail.com,Letters,1.54342E+12,1.898,Screen Shot 2018-11-14 at 12.33.40 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a68iu6x930975otacmj7v
cjp1a6arhnp8c0d408k81cbeq,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjohb3ei2evet0738z70vhnh9%2Fc2e465ce-a2f7-46a6-9e08-e9059f1be415%2FScreen%20Shot%202018-11-14%20at%2012.33.32%20PM.png?alt=media&token=bd3e851f-36a5-4d20-9da2-06566e7c08ec,"{""which_letter"":""p""}",alexfaus08@gmail.com,Letters,1.54342E+12,3.059,Screen Shot 2018-11-14 at 12.33.32 PM.png,,Scrabble,[],https://image-segmentation-v4.labelbox.com?project=cjp1a01dknmwu0d40nj8uwpj3&label=cjp1a6arhnp8c0d408k81cbeq
